,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
573,phytoplankton,E-U8,Zumaia (Puente del Ferrocarril),43.292,-2.245,17,511
675,water,E-BI20LB,Hondarribia (Txingudi). Low Tide. Bottom,43.3697,-1.7901,29,508
86,invertebrates,L-B10,Litoral de Gorliz (Cabo Villano),43.4370744,-2.9553061,28,500
651,water,E-A10LB,Ondarroa (Embarcadero). Low Tide. Bottom,43.3199,-2.421,28,495
659,water,E-B10LB,Plentzia (Puerto). Low Tide. Bottom,43.4076,-2.9463,28,493
93,invertebrates,L-N20,Litoral de Sopelana,43.3992447,-3.0206474,28,483
749,water,E-OK20HB,Sukarrieta (Txatxarramendi). High Tide. Bottom,43.3936,-2.6943,26,479
759,water,E-U10LB,Zumaia (Puente Narrondo). Low Tide. Bottom,43.2963,-2.2563,29,472
46,fish,PV_GAL_LAMIAKO,Nerbioi interior (Arrastre zona exterior masa de agua),43.320628,-3.006056,34,469
547,phytoplankton,E-B5,Plentzia (Abaniko),43.3963,-2.9241,21,468
555,phytoplankton,E-L5,Lekeitio (Astillero),43.3569,-2.5047,21,449
699,water,E-M10LB,Pobeña (puente). Low Tide. Bottom,43.3469,-3.1216,29,446
552,phytoplankton,E-D10,Deba (Puente),43.2925,-2.3572,17,440
809,water,L-RF30B,Litoral Butroe - Plataforma. Bottom,43.5,-2.7999,17,432
807,water,L-RF20B,Litoral Deba - Plataforma. Bottom,43.4,-2.2999,17,432
564,phytoplankton,E-O5,Orio (Rampa),43.2759,-2.1202,16,415
727,water,E-O10LB,Orio (Puente de La Autopista). Low Tide. Bottom,43.2826,-2.1316,29,411
80,invertebrates,E-U10,Zumaia (Puente Narrondo),43.2963289,-2.2562599,28,402
68,invertebrates,E-N15,Barakaldo (Puente de Rontegi),43.2950701,-2.9739759,21,402
665,water,E-B7HB,Plentzia (Campo de fútbol). High Tide. Bottom,43.3979,-2.9442,21,395
653,water,E-A5HB,Ondarroa (Errenteria). High Tide. Bottom,43.3221,-2.4433,21,392
78,invertebrates,E-OK20,Sukarrieta (Txatxarramendi),43.3936244,-2.6942934,25,390
729,water,E-O5HB,Orio (Rampa). High Tide. Bottom,43.2759,-2.1202,21,389
701,water,E-M5HB,Muskiz (Petronor). High Tide. Bottom,43.3322,-3.1125,21,389
773,water,E-UR5HB,Donostia (Loiola). High Tide. Bottom,43.3142,-1.9691,21,389
48,fish,PV_GAL_RONTEGI,Nerbioi interior (Arrastre zona media masa de agua),43.296997,-2.972804,32,388
747,water,E-OK10LB,Murueta (Astillero). Low Tide. Bottom,43.3647,-2.6841,29,388
677,water,E-BI5HB,Irun (Behobia). High Tide. Bottom,43.344,-1.7621,21,388
763,water,E-U5LB,Zumaia (Bedua). Low Tide. Bottom,43.2791,-2.252,21,387
545,phytoplankton,E-A5,Ondarroa (Errenteria),43.3221,-2.4433,21,387
761,water,E-U5HB,Zumaia (Bedua). High Tide. Bottom,43.2791,-2.252,21,385
667,water,E-B7LB,Plentzia (Campo de fútbol). Low Tide. Bottom,43.3979,-2.9442,21,385
771,water,E-UR10LB,Donostia (Puente de Santa Catalina). Low Tide. Bottom,43.3171,-1.9782,29,384
703,water,E-M5LB,Muskiz (Petronor). Low Tide. Bottom,43.3322,-3.1125,21,384
671,water,E-BI10LB,Irun (Amute). Low Tide. Bottom,43.3522,-1.7913,29,384
661,water,E-B5HB,Plentzia (Abaniko). High Tide. Bottom,43.3963,-2.9241,21,383
693,water,E-L5HB,Lekeitio (Astillero). High Tide. Bottom,43.3569,-2.5047,21,383
679,water,E-BI5LB,Irun (Behobia). Low Tide. Bottom,43.344,-1.7621,21,383
56,invertebrates,E-B10,Plentzia (Puerto),43.4076261,-2.9462871,28,383
765,water,E-U8HB,Zumaia (Puente del Ferrocarril). High Tide. Bottom,43.292,-2.245,21,382
663,water,E-B5LB,Plentzia (Abaniko). Low Tide. Bottom,43.3963,-2.9241,21,381
685,water,E-D5HB,Deba (Campo de fútbol). High Tide. Bottom,43.2934,-2.3639,21,381
691,water,E-L10LB,Lekeitio (Molino). Low Tide. Bottom,43.3602,-2.4989,29,379
753,water,E-OK5HB,Forua (Salida de la Depuradora). High Tide. Bottom,43.3405,-2.6662,21,379
775,water,E-UR5LB,Donostia (Loiola). Low Tide. Bottom,43.3142,-1.9691,21,377
751,water,E-OK20LB,Sukarrieta (Txatxarramendi). Low Tide. Bottom,43.3936,-2.6943,26,375
731,water,E-O5LB,Orio (Rampa). Low Tide. Bottom,43.2759,-2.1202,21,374
755,water,E-OK5LB,Forua (Salida de la Depuradora). Low Tide. Bottom,43.3405,-2.6662,21,374
767,water,E-U8LB,Zumaia (Puente del Ferrocarril). Low Tide. Bottom,43.292,-2.245,21,372
687,water,E-D5LB,Deba (Campo de fútbol). Low Tide. Bottom,43.2934,-2.3639,21,371
695,water,E-L5LB,Lekeitio (Astillero). Low Tide. Bottom,43.3569,-2.5047,21,367
558,phytoplankton,E-N10,Bilbao (Puente de Deusto),43.2697,-2.939,17,362
570,phytoplankton,E-OK5,Forua (Salida de la Depuradora),43.3405,-2.6662,21,358
655,water,E-A5LB,Ondarroa (Errenteria). Low Tide. Bottom,43.3221,-2.4433,21,357
572,phytoplankton,E-U5,Zumaia (Bedua),43.2791,-2.252,19,350
59,invertebrates,E-BI10,Irun (Amute),43.3522399,-1.7912869,28,349
551,phytoplankton,E-BI5,Irun (Behobia),43.344,-1.7621,19,343
77,invertebrates,E-OK10,Murueta (Astillero),43.3646562,-2.6840717,28,326
60,invertebrates,E-BI20,Hondarribia (Txingudi),43.3697139,-1.7901006,28,320
58,invertebrates,E-B7,Plentzia (Campo de fútbol),43.3979003,-2.9442087,21,320
557,phytoplankton,E-M5,Muskiz (Petronor),43.3322,-3.1125,16,319
82,invertebrates,E-U8,Zumaia (Puente del Ferrocarril),43.2919597,-2.2449599,21,311
47,fish,PV_GAL_OLABEAGA,Nerbioi interior (Arrastre zona interior masa de agua),43.267331,-2.957217,21,308
553,phytoplankton,E-D5,Deba (Campo de fútbol),43.2934,-2.3639,16,291
97,invertebrates,L-OI20,Litoral de Pasaia (Asabaratza),43.3600653,-1.8917834,21,286
575,phytoplankton,E-UR5,Donostia (Loiola),43.3142,-1.9691,15,282
435,macroalgae,M-LOI11,Oiartzun Zona 01. Litoral Macroalgas. Height: 1,43.3322386,-1.9486985,18,269
295,macroalgae,M-LD24,Deba Zona 02. Litoral Macroalgas. Height: 4,43.3024359,-2.3449192,18,260
73,invertebrates,E-O5,Orio (Rampa),43.2758501,-2.1201703,21,253
